experiment,fad,imagebind_score,insync,kld
vgg-frieren-full_eval_pipe:sample_1,1.3675045355827757,0.21803335877119143,0.8694031413612683,2.9327819589877837
vgg-frieren-full_eval_pipe:sample_4,1.3995215475911595,0.21913418161125292,0.8606492146596944,2.9415785885689356
vgg-frieren-full_eval_pipe:sample_0,1.3578504434620577,0.21894048760087598,0.8585130890052435,2.9332905213787086
vgg-frieren-full_eval_pipe:sample_9,1.4025330494241797,0.21754924070616669,0.8667085514834315,2.9311133835078533
vgg-frieren-full_eval_pipe:sample_3,1.3790979029028025,0.2193839009576859,0.8611239092495708,2.9244458987783597
vgg-frieren-full_eval_pipe:sample_5,1.3749717997843007,0.21885776588039874,0.8596300174520138,2.9203784904013963
vgg-frieren-full_eval_pipe:sample_6,1.3873078263023857,0.21841008664997877,0.8693193717277562,2.9259655868237346
vgg-frieren-full_eval_pipe:sample_2,1.4063350464108824,0.2185946646395154,0.8672390924956462,2.929779395724258
vgg-frieren-full_eval_pipe:sample_8,1.362492104930778,0.21841357220165808,0.861305410122172,2.9270811518324606
vgg-frieren-full_eval_pipe:sample_7,1.3676334346730423,0.21803229937404653,0.8590855148342139,2.9086103839441537
