experiment,fad,imagebind_score,insync,kld
as-4cb-llama-ib_04_cfg_scale_4:generated_samples_24-08-01T01-48-36,12.095397908025149,0.13635731793033914,0.28198198198198227,2.8787203951998874
as-4cb-llama-ib_04_cfg_scale_1:generated_samples_24-08-01T01-01-26,13.382819701726392,0.06865483955983576,0.29909909909909926,3.0168245332735077
as-4cb-llama-ib_04_cfg_scale_2:generated_samples_24-08-01T01-20-44,12.832375012136662,0.10641592708290429,0.3067567567567569,2.8540918848536037
as-4cb-llama-ib_04_cfg_scale_3:generated_samples_24-08-01T00-59-41,11.576405970338042,0.11626234508815918,0.27297297297297335,2.8235206947670326
as-4cb-llama-ib_04_cfg_scale_4:generated_samples_24-08-01T01-35-54,12.231918251688542,0.12655398586076927,0.27972972972973004,2.7867478379258164
as-4cb-llama-ib_04_cfg_scale_1:generated_samples_24-08-01T00-51-12,13.687495295189619,0.07800166494305338,0.31576576576576576,3.028803095087275
as-4cb-llama-ib_04_cfg_scale_4:generated_samples_24-08-01T02-25-23,11.537983295275833,0.12838797147914366,0.30225225225225266,2.8276961043074325
as-4cb-llama-ib_04_cfg_scale_1:generated_samples_24-08-01T00-32-28,13.43251131035295,0.07346085464447602,0.246846846846847,3.05956591356982
as-4cb-llama-ib_04_cfg_scale_3:generated_samples_24-08-01T00-34-45,11.606935706408569,0.1161892199762971,0.2792792792792794,2.814226580095721
as-4cb-llama-ib_04_cfg_scale_3:generated_samples_24-08-01T01-24-00,12.615483664463964,0.116552498418133,0.2540540540540544,2.8387781091638513
as-4cb-llama-ib_04_cfg_scale_2:generated_samples_24-08-01T01-57-59,11.597003506449392,0.09925245141258111,0.3229729729729731,2.8462612392666102
as-4cb-llama-ib_04_cfg_scale_2:generated_samples_24-08-01T01-45-48,11.590058846478216,0.09487765805107785,0.27387387387387396,2.867469581397804
as-4cb-llama-ib_04_cfg_scale_1:generated_samples_24-08-01T00-41-56,13.91799848706007,0.0679293987278298,0.2878378378378379,3.061477523666244
as-4cb-llama-ib_04_cfg_scale_4:generated_samples_24-08-01T02-01-06,12.039121101455232,0.12645297223987342,0.24639639639639677,2.87917321007531
as-4cb-llama-ib_04_cfg_scale_4:generated_samples_24-08-01T02-12-41,12.173563206257374,0.1277031420293759,0.2945945945945948,2.8756774352477477
as-4cb-llama-ib_04_cfg_scale_2:generated_samples_24-08-01T01-32-57,12.478581143234258,0.10689310049889861,0.24639639639639677,2.830794875686233
as-4cb-llama-ib_04_cfg_scale_2:generated_samples_24-08-01T02-09-59,11.809598466362944,0.10220275253376311,0.2729729729729731,2.912124221389358
as-4cb-llama-ib_04_cfg_scale_3:generated_samples_24-08-01T00-46-50,11.991104914900964,0.11686216922359424,0.2220720720720724,2.8744471094629787
as-4cb-llama-ib_04_cfg_scale_3:generated_samples_24-08-01T01-11-35,12.138032632378586,0.11524335819774785,0.27972972972972987,2.8567433400197073
as-4cb-llama-ib_04_cfg_scale_1:generated_samples_24-08-01T01-10-44,13.15942646909649,0.07595315779483802,0.30360360360360383,2.957940453881616
