experiment,fad,imagebind_score,insync,kld
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2.5:generated_samples_24-07-26T01-24-44,6.887523000227884,0.24067499337566867,0.31081081081081086,2.6497302356067003
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1.5:generated_samples_24-07-25T23-20-09,8.17724854054257,0.21092297180413125,0.29099099099099135,2.672811422262106
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2.5:generated_samples_24-07-26T01-56-01,6.664828242804883,0.2446338781365403,0.29819819819819854,2.6382072379997186
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2:generated_samples_24-07-25T19-02-07,6.785303018454712,0.2369191244513065,0.2851351351351354,2.770814912813204
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_3:generated_samples_24-07-26T00-24-30,6.61622841354134,0.25213251504543666,0.3373873873873876,2.6797301146361203
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1:generated_samples_24-07-25T17-59-10,10.857572653778387,0.17179051466151937,0.28738738738738767,2.846830075925535
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2.5:generated_samples_24-07-26T02-26-26,6.35855496176253,0.24651127711341186,0.2644144144144146,2.6473416165188626
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1.5:generated_samples_24-07-25T23-51-22,9.13111040157056,0.21355660249655312,0.29459459459459475,2.6991222484691724
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1:generated_samples_24-07-25T18-29-30,11.435514125938276,0.17265826057609138,0.2828828828828831,2.8473032358530403
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1.5:generated_samples_24-07-26T00-22-46,9.052305164596344,0.21693878449700973,0.25810810810810847,2.6394724802927927
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_3:generated_samples_24-07-25T22-49-08,5.97697971143224,0.24997519533913415,0.25810810810810825,2.627053200661599
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2.5:generated_samples_24-07-26T02-57-55,6.294454158183526,0.24711661812689928,0.3099099099099101,2.6392849758938626
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2:generated_samples_24-07-25T19-33-53,6.852991647310483,0.23141580031396033,0.2671171171171175,2.679692723729589
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1:generated_samples_24-07-25T19-00-29,10.812380199596939,0.16966337962327777,0.28108108108108126,2.8046072195242115
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1.5:generated_samples_24-07-26T00-53-43,8.436239968613128,0.21214131997512267,0.32612612612612635,2.6487913389463684
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1:generated_samples_24-07-25T19-31-39,11.642829148793613,0.16859489902518354,0.31261261261261264,2.8815194894601635
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1.5:generated_samples_24-07-25T22-49-12,7.8189745506141435,0.21501330974268484,0.29774774774774804,2.7042327056059965
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_1:generated_samples_24-07-25T17-28-49,12.113791912321805,0.1657724185502744,0.3036036036036038,2.831916877815315
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2:generated_samples_24-07-25T17-26-33,7.417653012336019,0.23236959392355905,0.3013513513513515,2.7310700287690035
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_3:generated_samples_24-07-25T23-53-03,6.212491560602995,0.2532679473494624,0.29504504504504525,2.6194020864125847
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_3:generated_samples_24-07-26T00-56-46,5.851068045070034,0.2468683108150422,0.2851351351351353,2.6614500853392453
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2:generated_samples_24-07-25T18-29-59,6.767998452920193,0.23026228132280144,0.3225225225225225,2.6867461333403715
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_3:generated_samples_24-07-25T23-20-55,5.724786092986318,0.2502877124929213,0.3049549549549551,2.617568557326858
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2.5:generated_samples_24-07-26T03-28-27,6.1989086792171175,0.2397445341958119,0.26351351351351376,2.6807330707172015
vgg-9cb-llama-concat_feats-ib_04_cfg_scale_2:generated_samples_24-07-25T17-58-22,7.659139450636891,0.23209191197613338,0.2765765765765769,2.769397357562641
